
超级云TV,#genre#
深圳卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=szws
深圳卫视,http://39.135.33.12/PLTV/77777777/224/3221226664/index.m3u8
深圳卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=szws
河北卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=hewshd
河北卫视,http://39.135.33.12/PLTV/77777777/224/3221226645/index.m3u8
河北卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=hebws
东南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=dnws
东南卫视,http://39.135.33.12/PLTV/77777777/224/3221226588/index.m3u8
东南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=dnws
广东卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=gdws
广东卫视,http://39.135.33.12/PLTV/77777777/224/3221226654/index.m3u8
广东卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=gdws
黑龙江卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=hljws
黑龙江卫视,http://39.135.33.12/PLTV/77777777/224/3221226656/index.m3u8
黑龙江卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=hljws
河南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=hnws
河南卫视,http://39.135.33.12/PLTV/77777777/224/3221226800/index.m3u8
河南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=hnanws
宁夏卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=nxws
宁夏卫视,http://39.135.33.12/PLTV/77777777/224/3221226651/index.m3u8
宁夏卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=nxws
陕西卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=sxws
陕西卫视,http://112.17.40.145/PLTV/88888888/224/3221226177/index.m3u8
陕西卫视,http://39.135.33.12/PLTV/77777777/224/3221226602/index.m3u8
陕西卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=shanxiws
甘肃卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=gsws
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
甘肃卫视,http://39.135.33.12/PLTV/77777777/224/3221226590/index.m3u8
甘肃卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=gsws
天津卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=tjws
天津卫视,http://39.135.33.12/PLTV/77777777/224/3221226666/index.m3u8
天津卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=tjws
云南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=ynws
云南卫视,http://39.135.33.12/PLTV/77777777/224/3221226606/index.m3u8
云南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=ynws
内蒙古卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=nmgws
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
内蒙古卫视,http://39.135.33.12/PLTV/77777777/224/3221226598/index.m3u8
内蒙古卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=nmgws
旅游卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=lyws
旅游卫视,http://39.135.33.12/PLTV/77777777/224/3221226633/index.m3u8
延边卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=ybws
新疆卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=xjws
新疆卫视,http://39.135.33.12/PLTV/77777777/224/3221226657/index.m3u8
新疆卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=xjws
西藏卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=xcws
西藏卫视,http://112.17.40.145/PLTV/88888888/224/3221226160/index.m3u8
西藏卫视,http://39.135.33.12/PLTV/77777777/224/3221226720/index.m3u8
西藏卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=xzws
青海卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=qhws
青海卫视,http://39.135.33.12/PLTV/77777777/224/3221226653/index.m3u8
青海卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=qhws
CCTV-4国际,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 美洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2_hd/index.m3u8
CCTV-4 欧洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2_hd/index.m3u8
